DirectorID,FirstName,LastName,Gender,BirthDate,Nationality,AwardsCount,Biography
15,Na,Yang,Diğer,1940-01-19,Çin,15,Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi.
16,Gabriel,Leroy,Erkek,1947-01-24,Fransa,2,Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Seslendirme ve dublajda da başarılı çalışmaları vardır. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Toplumsal meselelere duyarlı projelerde yer almıştır.
17,Can,Arslan,Erkek,1977-12-17,Türkiye,6,Kültürel çeşitliliği ve insan hikayelerini işler. Seslendirme ve dublajda da başarılı çalışmaları vardır. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Her filmi büyük bir titizlikle yönetir.
18,Lan,Li,Kadın,1962-03-29,Çin,10,Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Toplumsal meselelere duyarlı projelerde yer almıştır. Drama ve komedi türlerinde ustalığını kanıtlamıştır.
19,Carlos,Lopez,Erkek,1946-05-15,İspanya,2,Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır.
20,Jules,Moreau,Erkek,1983-07-20,Fransa,4,Drama ve komedi türlerinde ustalığını kanıtlamıştır. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Derin karakter analizleri ile tanınmaktadır. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır.
21,Alessandro,Ricci,Erkek,1977-12-31,İtalya,1,Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Kültürel çeşitliliği ve insan hikayelerini işler. Çok yönlü sanatçı kimliği ile tanınır.
22,Linda,Brown,Kadın,1949-10-20,ABD,6,Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Derin karakter analizleri ile tanınmaktadır. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Her filmi büyük bir titizlikle yönetir. Drama ve komedi türlerinde ustalığını kanıtlamıştır.
23,John,Roberts,Erkek,1948-10-13,İngiltere,0,Film müziklerine özel önem verir ve işbirlikleri yapar. Drama ve komedi türlerinde ustalığını kanıtlamıştır. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi.
24,Pooja,Sharma,Kadın,1959-03-06,Hindistan,5,Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Kültürel çeşitliliği ve insan hikayelerini işler. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Her filmi büyük bir titizlikle yönetir. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Derin karakter analizleri ile tanınmaktadır.
25,Miguel,López,Diğer,1983-08-30,Meksika,9,Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Çok yönlü sanatçı kimliği ile tanınır. Toplumsal meselelere duyarlı projelerde yer almıştır.
26,Asuka,Mori,Kadın,1945-02-16,Japonya,15,Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi.
27,Charlotte,Jones,Kadın,1961-02-06,İngiltere,18,Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Filmografisi geniş ve farklı türlerde eserleri bulunmakta.
28,Kavita,Kumar,Kadın,1968-05-19,Hindistan,10,Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Kültürel çeşitliliği ve insan hikayelerini işler. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Seslendirme ve dublajda da başarılı çalışmaları vardır.
29,Marco,Rossi,Erkek,1968-05-13,İtalya,14,Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Toplumsal meselelere duyarlı projelerde yer almıştır. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir.
30,Jian,Liu,Erkek,1971-04-24,Çin,11,Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Her filmi büyük bir titizlikle yönetir. Toplumsal meselelere duyarlı projelerde yer almıştır. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi.
31,Lucia,Sanchez,Diğer,1940-09-13,İspanya,3,Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Çok yönlü sanatçı kimliği ile tanınır. Toplumsal meselelere duyarlı projelerde yer almıştır.
32,Mert,Kaya,Erkek,1958-11-23,Türkiye,20,Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Filmografisi geniş ve farklı türlerde eserleri bulunmakta.
33,Luca,Rossi,Erkek,1964-10-27,İtalya,10,Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Çok yönlü sanatçı kimliği ile tanınır.
34,Yu-Jin,Kim,Kadın,1978-05-15,Güney Kore,3,Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Toplumsal meselelere duyarlı projelerde yer almıştır.
35,Rina,Tanaka,Kadın,1953-04-14,Japonya,1,Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Seslendirme ve dublajda da başarılı çalışmaları vardır. Drama ve komedi türlerinde ustalığını kanıtlamıştır.
36,Antonio,Ferrari,Erkek,1976-06-16,İtalya,7,Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Derin karakter analizleri ile tanınmaktadır. Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Çok yönlü sanatçı kimliği ile tanınır.
37,Linda,Jones,Kadın,1976-12-08,ABD,5,Kültürel çeşitliliği ve insan hikayelerini işler. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler.
38,Arthur,Robert,Erkek,1981-04-18,Fransa,7,Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Seslendirme ve dublajda da başarılı çalışmaları vardır. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Kültürel çeşitliliği ve insan hikayelerini işler.
39,David,Miller,Erkek,1946-03-24,ABD,20,Seslendirme ve dublajda da başarılı çalışmaları vardır. Toplumsal meselelere duyarlı projelerde yer almıştır. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir.
40,Elif,Demir,Kadın,1963-10-25,Türkiye,19,Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Çok yönlü sanatçı kimliği ile tanınır. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Derin karakter analizleri ile tanınmaktadır. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır.
41,Thomas,Smith,Erkek,1957-01-19,İngiltere,13,Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Toplumsal meselelere duyarlı projelerde yer almıştır. Seslendirme ve dublajda da başarılı çalışmaları vardır.
42,Guadalupe,Sánchez,Diğer,1957-09-04,Meksika,2,Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Seslendirme ve dublajda da başarılı çalışmaları vardır. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Çok yönlü sanatçı kimliği ile tanınır.
43,Lea,Wagner,Kadın,1976-08-21,Almanya,9,Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Derin karakter analizleri ile tanınmaktadır. Seslendirme ve dublajda da başarılı çalışmaları vardır. Kültürel çeşitliliği ve insan hikayelerini işler.
44,Federica,Greco,Kadın,1955-08-12,İtalya,9,Toplumsal meselelere duyarlı projelerde yer almıştır. Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Derin karakter analizleri ile tanınmaktadır.
45,Lucia,Diaz,Kadın,1968-11-28,İspanya,14,Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Çok yönlü sanatçı kimliği ile tanınır. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi.
46,Marco,Esposito,Erkek,1970-01-26,İtalya,9,Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi.
47,Léna,Durand,Diğer,1946-07-14,Fransa,20,Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Kültürel çeşitliliği ve insan hikayelerini işler. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Drama ve komedi türlerinde ustalığını kanıtlamıştır.
48,Aylin,Aydın,Kadın,1940-06-30,Türkiye,7,Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Her filmi büyük bir titizlikle yönetir. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi.
49,Jun,Zhang,Erkek,1950-11-20,Çin,14,Film müziklerine özel önem verir ve işbirlikleri yapar. Her filmi büyük bir titizlikle yönetir. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Çok yönlü sanatçı kimliği ile tanınır. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır.
50,Neha,Reddy,Kadın,1980-01-02,Hindistan,14,Film müziklerine özel önem verir ve işbirlikleri yapar. Drama ve komedi türlerinde ustalığını kanıtlamıştır. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır.
51,Na-Ra,Lee,Kadın,1964-08-20,Güney Kore,9,Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Toplumsal meselelere duyarlı projelerde yer almıştır. Filmografisi geniş ve farklı türlerde eserleri bulunmakta.
52,Emre,Kaya,Erkek,1974-05-13,Türkiye,2,Derin karakter analizleri ile tanınmaktadır. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Toplumsal meselelere duyarlı projelerde yer almıştır. Her filmi büyük bir titizlikle yönetir. Film müziklerine özel önem verir ve işbirlikleri yapar. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi.
53,Sarah,Martin,Kadın,1974-12-10,Fransa,18,Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Kültürel çeşitliliği ve insan hikayelerini işler. Derin karakter analizleri ile tanınmaktadır.
54,Jing,Liu,Kadın,1959-10-14,Çin,8,Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Kültürel çeşitliliği ve insan hikayelerini işler. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi.
55,Hye-Jin,Shin,Diğer,1942-06-02,Güney Kore,18,Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Derin karakter analizleri ile tanınmaktadır.
56,Elif,Çelik,Kadın,1956-04-20,Türkiye,12,Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Her filmi büyük bir titizlikle yönetir. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Film müziklerine özel önem verir ve işbirlikleri yapar. Kültürel çeşitliliği ve insan hikayelerini işler.
57,Anna,Schmidt,Kadın,1977-10-26,Almanya,15,Çok yönlü sanatçı kimliği ile tanınır. Toplumsal meselelere duyarlı projelerde yer almıştır. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi.
58,Michael,Smith,Erkek,1946-02-26,ABD,7,Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Drama ve komedi türlerinde ustalığını kanıtlamıştır.
59,Melis,Kaya,Kadın,1950-04-06,Türkiye,14,Film müziklerine özel önem verir ve işbirlikleri yapar. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Çok yönlü sanatçı kimliği ile tanınır.
60,Miguel,García,Erkek,1954-09-10,Meksika,18,Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Seslendirme ve dublajda da başarılı çalışmaları vardır.
61,Ravi,Das,Erkek,1957-10-16,Hindistan,20,Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Film müziklerine özel önem verir ve işbirlikleri yapar. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi.
62,Federica,Rossi,Kadın,1950-11-10,İtalya,11,Seslendirme ve dublajda da başarılı çalışmaları vardır. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir.
63,Sakura,Ito,Kadın,1983-12-23,Japonya,11,Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Derin karakter analizleri ile tanınmaktadır. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir.
64,Lucia,Gomez,Kadın,1983-05-18,İspanya,18,Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Drama ve komedi türlerinde ustalığını kanıtlamıştır. Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Her filmi büyük bir titizlikle yönetir.
65,Jade,Martin,Kadın,1973-12-31,Fransa,15,Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir.
66,Thomas,Smith,Erkek,1964-10-13,ABD,16,Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Drama ve komedi türlerinde ustalığını kanıtlamıştır. Çok yönlü sanatçı kimliği ile tanınır. Derin karakter analizleri ile tanınmaktadır.
67,Na-Ra,Yoon,Kadın,1961-07-23,Güney Kore,14,Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Drama ve komedi türlerinde ustalığını kanıtlamıştır.
68,Maya,Mehta,Kadın,1967-06-21,Hindistan,15,Derin karakter analizleri ile tanınmaktadır. Çok yönlü sanatçı kimliği ile tanınır. Toplumsal meselelere duyarlı projelerde yer almıştır. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur.
69,Carmen,López,Kadın,1967-07-05,Meksika,3,Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Çok yönlü sanatçı kimliği ile tanınır. Toplumsal meselelere duyarlı projelerde yer almıştır.
70,Alejandro,González,Erkek,1959-05-31,Meksika,18,Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Drama ve komedi türlerinde ustalığını kanıtlamıştır. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur.
71,Burak,Yılmaz,Erkek,1951-05-10,Türkiye,1,Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Film müziklerine özel önem verir ve işbirlikleri yapar. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler.
72,Mia,Thomas,Kadın,1965-07-05,İngiltere,14,Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı.
73,David,Smith,Erkek,1946-08-24,İngiltere,4,Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Drama ve komedi türlerinde ustalığını kanıtlamıştır.
74,Lucy,Johnson,Kadın,1977-05-03,İngiltere,19,Film müziklerine özel önem verir ve işbirlikleri yapar. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Kültürel çeşitliliği ve insan hikayelerini işler. Her filmi büyük bir titizlikle yönetir.
75,Soo,Shin,Erkek,1978-06-21,Güney Kore,19,Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Çok yönlü sanatçı kimliği ile tanınır. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı.
76,Louise,Thomas,Kadın,1963-09-28,Fransa,7,Toplumsal meselelere duyarlı projelerde yer almıştır. Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Uzun yıllar sinema sektöründe önemli projelerde yer aldı.
77,Kavita,Sharma,Kadın,1982-02-27,Hindistan,7,Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Her filmi büyük bir titizlikle yönetir. Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Seslendirme ve dublajda da başarılı çalışmaları vardır.
78,Manon,Bernard,Diğer,1957-09-30,Fransa,17,Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Filmografisi geniş ve farklı türlerde eserleri bulunmakta.
79,Kazuya,Mori,Erkek,1967-08-06,Japonya,9,Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Her filmi büyük bir titizlikle yönetir. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Kültürel çeşitliliği ve insan hikayelerini işler. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir.
80,Mei,Zhou,Kadın,1979-04-10,Çin,1,Çok yönlü sanatçı kimliği ile tanınır. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Filmografisi geniş ve farklı türlerde eserleri bulunmakta.
