ActorID,FirstName,LastName,Gender,BirthDate,Nationality,AwardsCount,Biography
11,Inès,Durand,Diğer,1971-06-05,Fransa,3,Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Kültürel çeşitliliği ve insan hikayelerini işler. Seslendirme ve dublajda da başarılı çalışmaları vardır. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır.
12,Bo-Ra,Shin,Diğer,1961-04-29,Güney Kore,5,Her filmi büyük bir titizlikle yönetir. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır.
13,Tae-Hyun,Park,Erkek,1962-12-07,Güney Kore,1,Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Kültürel çeşitliliği ve insan hikayelerini işler. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Filmografisi geniş ve farklı türlerde eserleri bulunmakta.
14,Susan,Miller,Kadın,1997-11-15,ABD,10,Toplumsal meselelere duyarlı projelerde yer almıştır. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Drama ve komedi türlerinde ustalığını kanıtlamıştır. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi.
15,Louise,Bernard,Kadın,1988-12-07,Fransa,7,Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi.
16,Barbara,Miller,Kadın,1976-04-27,ABD,6,Drama ve komedi türlerinde ustalığını kanıtlamıştır. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Derin karakter analizleri ile tanınmaktadır. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir.
17,Martina,Russo,Kadın,1965-04-02,İtalya,9,Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Seslendirme ve dublajda da başarılı çalışmaları vardır. Drama ve komedi türlerinde ustalığını kanıtlamıştır. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır.
18,Camille,Robert,Kadın,1972-10-14,Fransa,10,Her filmi büyük bir titizlikle yönetir. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Seslendirme ve dublajda da başarılı çalışmaları vardır.
19,Ming,Zhou,Erkek,1989-08-18,Çin,4,Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Her filmi büyük bir titizlikle yönetir. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Kültürel çeşitliliği ve insan hikayelerini işler.
20,Woo,Kang,Erkek,1984-03-19,Güney Kore,9,Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Seslendirme ve dublajda da başarılı çalışmaları vardır. Kültürel çeşitliliği ve insan hikayelerini işler.
21,Jan,Becker,Erkek,1954-05-27,Almanya,4,Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Drama ve komedi türlerinde ustalığını kanıtlamıştır. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır.
22,Louise,Martin,Kadın,1962-04-09,Fransa,4,Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi.
23,Linda,Williams,Kadın,1965-10-04,ABD,8,Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi.
24,Isabel,García,Kadın,1960-05-01,Meksika,2,Seslendirme ve dublajda da başarılı çalışmaları vardır. Çok yönlü sanatçı kimliği ile tanınır. Kültürel çeşitliliği ve insan hikayelerini işler. Toplumsal meselelere duyarlı projelerde yer almıştır.
25,Michael,Jones,Erkek,1985-05-26,ABD,8,Her filmi büyük bir titizlikle yönetir. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Seslendirme ve dublajda da başarılı çalışmaları vardır.
26,Ana,García,Kadın,1984-03-08,Meksika,10,Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Toplumsal meselelere duyarlı projelerde yer almıştır.
27,Robert,Garcia,Diğer,1969-11-10,ABD,4,Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler.
28,William,Evans,Erkek,1998-03-24,İngiltere,7,Seslendirme ve dublajda da başarılı çalışmaları vardır. Çok yönlü sanatçı kimliği ile tanınır. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Toplumsal meselelere duyarlı projelerde yer almıştır. Derin karakter analizleri ile tanınmaktadır.
29,Elena,Martinez,Kadın,1963-11-12,İspanya,7,Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Her filmi büyük bir titizlikle yönetir.
30,Hyun,Kang,Diğer,1982-07-16,Güney Kore,8,Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Kültürel çeşitliliği ve insan hikayelerini işler. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı.
31,Woo,Kim,Erkek,1969-01-11,Güney Kore,0,Drama ve komedi türlerinde ustalığını kanıtlamıştır. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Filmografisi geniş ve farklı türlerde eserleri bulunmakta.
32,Lei,Yang,Erkek,1969-05-17,Çin,2,Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Toplumsal meselelere duyarlı projelerde yer almıştır.
33,Mia,Schneider,Kadın,1959-11-12,Almanya,0,Drama ve komedi türlerinde ustalığını kanıtlamıştır. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi.
34,Finn,Schmidt,Erkek,1987-10-08,Almanya,1,Her filmi büyük bir titizlikle yönetir. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Film müziklerine özel önem verir ve işbirlikleri yapar.
35,Peng,Chen,Erkek,1953-11-21,Çin,7,Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Kültürel çeşitliliği ve insan hikayelerini işler.
36,Rina,Patel,Kadın,1993-12-26,Hindistan,1,Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır.
37,Elena,Moreno,Kadın,1979-03-05,İspanya,8,Her filmi büyük bir titizlikle yönetir. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Derin karakter analizleri ile tanınmaktadır. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı.
38,Carlos,Sánchez,Erkek,1999-06-19,Meksika,7,Derin karakter analizleri ile tanınmaktadır. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Her filmi büyük bir titizlikle yönetir. Kültürel çeşitliliği ve insan hikayelerini işler.
39,Pooja,Mehta,Kadın,1978-01-15,Hindistan,10,Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Seslendirme ve dublajda da başarılı çalışmaları vardır. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Filmografisi geniş ve farklı türlerde eserleri bulunmakta.
40,Charlotte,Jones,Kadın,1958-05-13,İngiltere,5,Toplumsal meselelere duyarlı projelerde yer almıştır. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir.
41,Alessandro,Rossi,Erkek,1981-09-21,İtalya,4,Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir.
42,Aylin,Koç,Kadın,1970-02-13,Türkiye,8,Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Film müziklerine özel önem verir ve işbirlikleri yapar. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Drama ve komedi türlerinde ustalığını kanıtlamıştır.
43,Priya,Das,Kadın,1999-12-13,Hindistan,10,Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Film müziklerine özel önem verir ve işbirlikleri yapar.
44,Max,Schneider,Diğer,1981-06-29,Almanya,2,Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Film müziklerine özel önem verir ve işbirlikleri yapar. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır.
45,Arthur,Thomas,Erkek,1990-09-13,Fransa,5,Çok yönlü sanatçı kimliği ile tanınır. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Film müziklerine özel önem verir ve işbirlikleri yapar. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur.
46,Jessica,Johnson,Kadın,1963-12-17,İngiltere,0,Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Her filmi büyük bir titizlikle yönetir. Seslendirme ve dublajda da başarılı çalışmaları vardır.
47,Pooja,Singh,Kadın,1989-08-28,Hindistan,3,Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Derin karakter analizleri ile tanınmaktadır. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı.
48,Lena,Weber,Kadın,1993-08-28,Almanya,0,Kültürel çeşitliliği ve insan hikayelerini işler. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Uzun yıllar sinema sektöründe önemli projelerde yer aldı.
49,Louis,Robert,Erkek,1968-12-13,Fransa,4,Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Çok yönlü sanatçı kimliği ile tanınır. Derin karakter analizleri ile tanınmaktadır.
50,Can,Arslan,Erkek,1997-10-12,Türkiye,8,Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Kültürel çeşitliliği ve insan hikayelerini işler. Çok yönlü sanatçı kimliği ile tanınır. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Derin karakter analizleri ile tanınmaktadır.
51,Haruka,Mori,Kadın,1956-12-26,Japonya,6,Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Derin karakter analizleri ile tanınmaktadır. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Kültürel çeşitliliği ve insan hikayelerini işler.
52,Mei,Fujimoto,Diğer,1965-06-02,Japonya,5,Derin karakter analizleri ile tanınmaktadır. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Drama ve komedi türlerinde ustalığını kanıtlamıştır.
53,Anjali,Joshi,Kadın,1997-01-03,Hindistan,4,Drama ve komedi türlerinde ustalığını kanıtlamıştır. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Film müziklerine özel önem verir ve işbirlikleri yapar. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Filmografisi geniş ve farklı türlerde eserleri bulunmakta.
54,Ting,Liu,Kadın,1997-08-08,Çin,5,Çok yönlü sanatçı kimliği ile tanınır. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Drama ve komedi türlerinde ustalığını kanıtlamıştır. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı.
55,Deniz,Şahin,Erkek,1965-07-26,Türkiye,10,Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Film müziklerine özel önem verir ve işbirlikleri yapar. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır.
56,Hana,Yoon,Kadın,2000-07-29,Güney Kore,10,Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Her filmi büyük bir titizlikle yönetir. Filmografisi geniş ve farklı türlerde eserleri bulunmakta.
57,Soo,Shin,Erkek,1977-03-02,Güney Kore,0,Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Her filmi büyük bir titizlikle yönetir. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi.
58,Haruto,Kobayashi,Erkek,1975-10-03,Japonya,9,Her filmi büyük bir titizlikle yönetir. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Toplumsal meselelere duyarlı projelerde yer almıştır. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Film müziklerine özel önem verir ve işbirlikleri yapar. Çok yönlü sanatçı kimliği ile tanınır.
59,Stefano,Ferrari,Erkek,1992-09-02,İtalya,0,Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi.
60,Takumi,Shimizu,Erkek,1989-04-10,Japonya,8,Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Kültürel çeşitliliği ve insan hikayelerini işler. Derin karakter analizleri ile tanınmaktadır.
61,Barbara,Johnson,Kadın,1954-09-12,ABD,5,Toplumsal meselelere duyarlı projelerde yer almıştır. Seslendirme ve dublajda da başarılı çalışmaları vardır. Kültürel çeşitliliği ve insan hikayelerini işler.
62,Jonas,Schmidt,Erkek,1963-06-29,Almanya,9,Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır.
63,Francesco,Marino,Erkek,1957-08-08,İtalya,6,Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Seslendirme ve dublajda da başarılı çalışmaları vardır. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Çok yönlü sanatçı kimliği ile tanınır. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır.
64,Ella,Wilson,Kadın,1987-12-27,İngiltere,0,Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Film müziklerine özel önem verir ve işbirlikleri yapar.
65,Joon,Lee,Erkek,1962-05-05,Güney Kore,4,Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Film müziklerine özel önem verir ve işbirlikleri yapar. Toplumsal meselelere duyarlı projelerde yer almıştır.
66,Ana,Flores,Kadın,1953-05-21,Meksika,2,Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Çok yönlü sanatçı kimliği ile tanınır. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Her filmi büyük bir titizlikle yönetir.
67,Takumi,Mori,Erkek,1971-04-24,Japonya,4,Drama ve komedi türlerinde ustalığını kanıtlamıştır. Toplumsal meselelere duyarlı projelerde yer almıştır. Film müziklerine özel önem verir ve işbirlikleri yapar. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir.
68,Jessica,Jones,Kadın,1989-07-12,ABD,6,Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi.
69,Elisa,Russo,Kadın,1983-04-21,İtalya,8,Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Film müziklerine özel önem verir ve işbirlikleri yapar.
70,Emre,Aydın,Erkek,1996-01-21,Türkiye,1,Her filmi büyük bir titizlikle yönetir. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Derin karakter analizleri ile tanınmaktadır.
71,Ren,Ito,Erkek,1983-07-20,Japonya,1,Drama ve komedi türlerinde ustalığını kanıtlamıştır. Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır.
72,Giovanni,Rossi,Erkek,1963-02-07,İtalya,4,Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Film müziklerine özel önem verir ve işbirlikleri yapar. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Her filmi büyük bir titizlikle yönetir. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur.
73,Ryota,Saito,Diğer,1951-09-15,Japonya,2,Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Drama ve komedi türlerinde ustalığını kanıtlamıştır. Çok yönlü sanatçı kimliği ile tanınır. Film müziklerine özel önem verir ve işbirlikleri yapar. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi.
74,Gabriel,Bernard,Erkek,1991-01-04,Fransa,7,Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir.
75,Alice,Martin,Kadın,1976-02-18,Fransa,9,Drama ve komedi türlerinde ustalığını kanıtlamıştır. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Derin karakter analizleri ile tanınmaktadır. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Seslendirme ve dublajda da başarılı çalışmaları vardır.
76,Marco,Marino,Erkek,1982-05-09,İtalya,8,Kültürel çeşitliliği ve insan hikayelerini işler. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi.
77,Francesco,Rossi,Erkek,1983-06-29,İtalya,5,Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Drama ve komedi türlerinde ustalığını kanıtlamıştır. Çok yönlü sanatçı kimliği ile tanınır.
78,Martina,Rossi,Kadın,1979-10-31,İtalya,5,Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Film müziklerine özel önem verir ve işbirlikleri yapar. Seslendirme ve dublajda da başarılı çalışmaları vardır. Her filmi büyük bir titizlikle yönetir.
79,Juana,García,Kadın,1966-05-09,Meksika,7,Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi.
80,Léna,Moreau,Kadın,1978-04-25,Fransa,6,Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur.
81,Yui,Kobayashi,Kadın,1979-10-12,Japonya,5,Kültürel çeşitliliği ve insan hikayelerini işler. Çok yönlü sanatçı kimliği ile tanınır. Her filmi büyük bir titizlikle yönetir. Film müziklerine özel önem verir ve işbirlikleri yapar. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi.
